POD_ID,Sign_Name,Store_num
34242,1.5x3.25_Arrow_Sticker_rev.08-20,"5403 , 5413 , 5433 , 5444 , 5445 , 5455 , 5465 , 5470 , 5471 , 5480 , 5481 , 5482 , 5484 , 5492 , 5506 , 5510 , 5523 , 5531 , 5535 , 5536 , 5539 , 5540 , 5548 , 5550 , 5560 , 5565 , 5567 , 5568 , 5569 , 5604 , 5609 , 5612 , 5614 , 5616 , 5617 , 5618 , 5621 , 5631 , 5632 , 5635 , 5640 , 5643 , 5644 , 5645 , 5648 , 5649 , 5650 , 5665 , 5667 , 5668 , 5669 , 5670 , 5672 , 5673 , 5674 , 5675 , 5676 , 5677 , 5678 , 5679 , 5680 , 5681 , 5685 , 5690 , 5691 , 5693 , 5695"
34241,1.5x3.25_Arrow_Sticker_rev.08-20,"5405 , 5406 , 5410 , 5411 , 5412 , 5425 , 5432 , 5443 , 5508 , 5512 , 5515 , 5519 , 5522 , 5524 , 5526 , 5532 , 5546 , 5552 , 5553 , 5608 , 5646 , 5653 , 5655 , 5656 , 5660 , 5664"
34240,1.5x3.25_Arrow_Sticker_rev.08-20,"5404 , 5416 , 5460 , 5494 , 5505 , 5513 , 5514 , 5518 , 5525 , 5537 , 5538 , 5543 , 5549 , 5554 , 5555 , 5556 , 5610 , 5611 , 5615 , 5619 , 5620 , 5630 , 5652 , 5654 , 5658 , 5659 , 5661 , 5662 , 5663"
34357,1.5x3.25_Arrow_Sticker_rev.08-20,5647
33501,104702_Dewalt_5x8_V2,"5403 , 5404 , 5405 , 5406 , 5410 , 5411 , 5412 , 5413 , 5416 , 5425 , 5432 , 5433 , 5443 , 5444 , 5445 , 5455 , 5460 , 5465 , 5470 , 5471 , 5480 , 5481 , 5482 , 5484 , 5492 , 5494 , 5505 , 5506 , 5508 , 5510 , 5512 , 5513 , 5514 , 5515 , 5518 , 5519 , 5522 , 5523 , 5524 , 5525 , 5526 , 5531 , 5532 , 5535 , 5536 , 5537 , 5538 , 5539 , 5540 , 5543 , 5546 , 5548 , 5549 , 5550 , 5552 , 5553 , 5554 , 5555 , 5556 , 5560 , 5565 , 5567 , 5568 , 5569 , 5604 , 5608 , 5609 , 5610 , 5611 , 5612 , 5614 , 5615 , 5616 , 5617 , 5618 , 5619 , 5620 , 5621 , 5630 , 5631 , 5632 , 5635 , 5640 , 5643 , 5644 , 5645 , 5646 , 5647 , 5648 , 5649 , 5650 , 5652 , 5653 , 5654 , 5655 , 5656 , 5658 , 5659 , 5660 , 5661 , 5662 , 5663 , 5664 , 5665 , 5667 , 5668 , 5669 , 5670 , 5672 , 5673 , 5674 , 5675 , 5676 , 5677 , 5678 , 5679 , 5680 , 5681 , 5685 , 5690 , 5691 , 5693 , 5695"
33501,106144_Dewalt_5x8_V2,"5403 , 5404 , 5405 , 5406 , 5410 , 5411 , 5412 , 5413 , 5416 , 5425 , 5432 , 5433 , 5443 , 5444 , 5445 , 5455 , 5460 , 5465 , 5470 , 5471 , 5480 , 5481 , 5482 , 5484 , 5492 , 5494 , 5505 , 5506 , 5508 , 5510 , 5512 , 5513 , 5514 , 5515 , 5518 , 5519 , 5522 , 5523 , 5524 , 5525 , 5526 , 5531 , 5532 , 5535 , 5536 , 5537 , 5538 , 5539 , 5540 , 5543 , 5546 , 5548 , 5549 , 5550 , 5552 , 5553 , 5554 , 5555 , 5556 , 5560 , 5565 , 5567 , 5568 , 5569 , 5604 , 5608 , 5609 , 5610 , 5611 , 5612 , 5614 , 5615 , 5616 , 5617 , 5618 , 5619 , 5620 , 5621 , 5630 , 5631 , 5632 , 5635 , 5640 , 5643 , 5644 , 5645 , 5646 , 5647 , 5648 , 5649 , 5650 , 5652 , 5653 , 5654 , 5655 , 5656 , 5658 , 5659 , 5660 , 5661 , 5662 , 5663 , 5664 , 5665 , 5667 , 5668 , 5669 , 5670 , 5672 , 5673 , 5674 , 5675 , 5676 , 5677 , 5678 , 5679 , 5680 , 5681 , 5685 , 5690 , 5691 , 5693 , 5695"
33501,106145_Dewalt_5x8_V2,"5403 , 5404 , 5405 , 5406 , 5410 , 5411 , 5412 , 5413 , 5416 , 5425 , 5432 , 5433 , 5443 , 5444 , 5445 , 5455 , 5460 , 5465 , 5470 , 5471 , 5480 , 5481 , 5482 , 5484 , 5492 , 5494 , 5505 , 5506 , 5508 , 5510 , 5512 , 5513 , 5514 , 5515 , 5518 , 5519 , 5522 , 5523 , 5524 , 5525 , 5526 , 5531 , 5532 , 5535 , 5536 , 5537 , 5538 , 5539 , 5540 , 5543 , 5546 , 5548 , 5549 , 5550 , 5552 , 5553 , 5554 , 5555 , 5556 , 5560 , 5565 , 5567 , 5568 , 5569 , 5604 , 5608 , 5609 , 5610 , 5611 , 5612 , 5614 , 5615 , 5616 , 5617 , 5618 , 5619 , 5620 , 5621 , 5630 , 5631 , 5632 , 5635 , 5640 , 5643 , 5644 , 5645 , 5646 , 5647 , 5648 , 5649 , 5650 , 5652 , 5653 , 5654 , 5655 , 5656 , 5658 , 5659 , 5660 , 5661 , 5662 , 5663 , 5664 , 5665 , 5667 , 5668 , 5669 , 5670 , 5672 , 5673 , 5674 , 5675 , 5676 , 5677 , 5678 , 5679 , 5680 , 5681 , 5685 , 5690 , 5691 , 5693 , 5695"
31628,10x20_GantryCrane,"5481 , 5536"
31630,10x20_GantryCrane,5465
31631,10x20_GantryCrane,"5445 , 5612"
